payment_id,invoice_id,amount,payment_method,payment_date,status,transaction_id,notes
PAY-2262,INV-2802,8210.54,insurance,2024-08-04,completed,TXN-15669987,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
PAY-3691,INV-8849,3479.19,credit_card,2024-10-06,completed,TXN-41136124,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
PAY-3531,INV-1245,3070.16,credit_card,2024-02-08,completed,TXN-86656983,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue."
PAY-8076,INV-8032,9476.29,debit_card,2024-11-11,completed,TXN-39262276,Duis aliquam convallis nunc.
PAY-6605,INV-2937,5786.38,credit_card,2024-06-02,completed,TXN-64679392,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
PAY-3434,INV-6850,5654.68,credit_card,2024-07-19,completed,TXN-53625191,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
PAY-6142,INV-9273,9585.16,credit_card,2024-01-26,completed,TXN-99513142,Praesent blandit.
PAY-4463,INV-7040,6562.44,credit_card,2024-12-20,completed,TXN-17880922,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
PAY-9095,INV-9965,5580.2,insurance,2024-06-21,completed,TXN-81637894,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
PAY-9869,INV-3658,5917.9,credit_card,2024-04-04,completed,TXN-25348574,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
PAY-2379,INV-9454,4503.94,credit_card,2024-06-26,completed,TXN-12608149,Donec semper sapien a libero.
PAY-3177,INV-8502,9707.53,debit_card,2024-11-03,completed,TXN-46844026,Donec dapibus.
PAY-4534,INV-7982,6626.95,debit_card,2024-04-10,completed,TXN-87022670,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
PAY-8767,INV-9339,7690.38,debit_card,2024-02-05,completed,TXN-52281422,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
